Stock,총자산증가율,자기자본증가율,매출액증가율,총자본영업이익율,총자본순이익율,자본금순이익율,매출액순이익율,매출액영업이익율,자기자본비율,부채비율,유보액/납입자본비율,총자본회전율,자기자본회전율, 당기순이익(손실),영업활동으로인한현금흐름,성장성,안정성,활동성,수익성,현금흐름,Z_score,부실기업판별_Z_score,부도확률_O_score,F_score,K_score,부실기업판별_K_score,자본잠식,벌금,불성실공시,소송,영업정지,특허,투자주의환기종목,업종,관리종목여부,관리종목요건_감사의견,관리종목요건_매출액,관리종목요건_영업손실,관리종목요건_법인세비용차감전계속사업손실,날짜,PER,PBR,EPS,DIV,EPS성장률
370090,235.44,265.83,-3.61,4.64,6.97,151.45,4.08,2.72,72.35,38.22,1625.56,1.71,2.41,589943000.0,1737145000.0,1.0,3.0,2.0,3.0,2.0,0.0,3.0,0.0003990154469322,1.0,22.40575867444113,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3,1,1,1,2018,50.23355303030303,1.5039469696969696,763.9636363636364,0.7291723555368512,0.6450899998799806
251120,5.18,6.06,13.65,1.97,3.26,10.71,6.57,3.98,59.65,67.64,101.13,0.5,0.83,394091000.0,1072760000.0,2.0,2.0,2.0,3.0,2.0,0.0,3.0,0.0004840574352135,2.0,19.586655566335587,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1,1,1,1,2018,77.10165760165759,-20.206862211862212,577.0059575740089,0.8152751181207422,-0.07211413583240521
137080,-10.49,7.15,-0.66,5.85,3.92,95.3,5.22,7.78,46.22,116.37,978.09,0.75,1.78,4967814000.0,4798230000.0,0.0,2.0,2.0,3.0,2.0,0.0,3.0,0.0007584462440102,1.0,21.551487785028247,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3,1,1,1,2018,77.10165760165759,-20.206862211862212,577.0059575740089,0.8152751181207422,-0.07211413583240521
136410,25.51,13.84,10.18,5.81,5.34,353.16,9.16,9.96,48.21,107.44,3447.6,0.58,1.16,2133050000.0,-298505000.0,2.0,2.0,2.0,3.0,1.0,0.0,3.0,0.0005963990117763,1.0,18.51373092624772,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3,1,1,1,2018,77.10165760165759,-20.206862211862212,577.0059575740089,0.8152751181207422,-0.07211413583240521
377330,68.87,74.17,54.34,7.14,4.45,187.48,6.63,10.65,51.74,93.29,2427.61,0.67,1.31,956144000.0,1073898000.0,2.0,3.0,2.0,3.0,2.0,0.0,3.0,0.0009882442871535,2.0,20.048632758985416,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3,1,1,1,2018,77.10165760165759,-20.206862211862212,577.0059575740089,0.8152751181207422,-0.07211413583240521
102370,4.2,-57.53,30.08,2.18,-2.44,-54.83,-10.01,8.95,26.74,273.94,631.05,0.24,0.53,-1961136000.0,3280400000.0,2.0,1.0,2.0,1.0,1.0,0.0,3.0,0.0056710927428214,1.0,18.56499653791508,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,3,1,1,0,2018,71.69038551401869,-54.923411214953276,427.02558411214955,1.1717939369651367,0.773693972234251
353590,9.47,86.64,1.57,-7.51,-6.73,-127.92,-4.02,-4.49,17.17,482.54,227.5,1.67,12.14,-1080810000.0,-4148359000.0,2.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0345549237219155,0.0,15.566969310098496,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,3,1,0,0,2018,459.4756487695749,1.9766442953020134,738.8053691275168,0.880738255033557,0.9855964440522748
361570,40.62,3.99,33.9,6.76,2.92,88.52,4.19,9.71,65.08,53.66,2207.96,0.7,0.93,763473000.0,8610715000.0,2.0,3.0,2.0,3.0,2.0,0.0,3.0,0.0003645442266593,1.0,19.237685971551063,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3,1,1,1,2018,58.57,9.22,665.0,0.0,-0.3548594413485441
290090,-16.82,-4.73,-91.24,-8.87,-8.17,-277.91,-73.77,-80.11,91.73,9.02,1341.41,0.11,0.13,-4238122000.0,-8672248000.0,0.0,3.0,1.0,0.0,0.0,0.0,3.0,0.0247034291314063,0.0,24.876359190823745,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3,1,0,0,2018,84.57,5.37,486.0,0.0,-0.3548594413485441
372800,30.78,-70.02,98.48,17.58,9.67,185.93,2.15,3.91,9.24,981.71,101.49,4.49,19.79,371867000.0,153425000.0,2.0,0.0,2.0,3.0,2.0,0.0,3.0,0.0308428061187732,1.0,20.208054330163456,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2,1,1,1,2018,25.38,13.25,790.0,0.0,0.08790917151945532
311320,12.68,11.77,11.37,16.97,16.46,148.04,22.57,23.27,91.95,8.76,666.85,0.73,0.79,2980241000.0,4062024000.0,2.0,3.0,2.0,5.0,2.0,0.0,3.0,7.012253611884228e-07,1.0,29.103517391772,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3,1,1,1,2018,29.78,3.43,534.0,0.0,-0.07211413583240521
376180,-16.33,4.11,-0.5,0.81,1.64,289.21,3.33,1.64,34.95,186.09,5775.63,0.49,1.58,636268000.0,368641000.0,0.0,2.0,2.0,3.0,2.0,0.0,3.0,0.0108687279833088,1.0,20.76131967506596,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3,1,1,1,2018,17.75,3.36,1048.0,1.03,-5.930418841524372
