Stock,총자산증가율 (2018),매출액증가율 (2018),총자본영업이익율 (2018),매출액영업이익율 (2018),자기자본비율 (2018),유보액/납입자본비율 (2018),총자본회전율 (2018),영업활동으로인한현금흐름 (2018),총자산증가율 (2019),매출액증가율 (2019),총자본영업이익율 (2019),매출액영업이익율 (2019),자기자본비율 (2019),유보액/납입자본비율 (2019),총자본회전율 (2019),영업활동으로인한현금흐름 (2019),총자산증가율 (2020),매출액증가율 (2020),총자본영업이익율 (2020),매출액영업이익율 (2020),자기자본비율 (2020),유보액/납입자본비율 (2020),총자본회전율 (2020),영업활동으로인한현금흐름 (2020),총자산증가율 (2021),매출액증가율 (2021),총자본영업이익율 (2021),매출액영업이익율 (2021),자기자본비율 (2021),유보액/납입자본비율 (2021),총자본회전율 (2021),영업활동으로인한현금흐름 (2021),2018_관리종목여부,2019_관리종목여부,2020_관리종목여부,2021_관리종목여부,2018_Z,2019_Z,2020_Z,2021_Z,2018_부실기업판별_알Z,2019_부실기업판별_알Z,2020_부실기업판별_알Z,2021_부실기업판별_알Z,2018_부도확률_o,2019_부도확률_o,2020_부도확률_o,2021_부도확률_o,2018_F_score,2019_F_score,2020_F_score,2021_F_score,2018_K,2019_K,2020_K,2021_K,2018_부실여부판단_K,2019_부실여부판단_K,2020_부실여부판단_K,2021_부실여부판단_K,성장성2018,성장성2019,성장성2020,성장성2021,수익성2018,수익성2019,수익성2020,수익성2021,안정성2018,안정성2019,안정성2020,안정성2021,활동성2018,현금흐름2018,활동성2019,현금흐름2019,활동성2020,현금흐름2020,활동성2021,현금흐름2021,업종,자본잠식,벌금,불성실공시,소송,영업정지,특허,투자주의환기종목
215790,36.69,-12.89,-3.42,-13.62,58.86,487.83,0.25,-4456369000.0,-23.52,-11.77,-1.36,-6.24,47.78,264.98,0.22,4298029000.0,3.08,-66.97,-1.33,-16.31,95.09,276.95,0.08,3227590000.0,21.52,38.66,1.23,12.23,96.33,364.01,0.1,-587013000.0,0,0,0,0,3.277799863283492,1.675589946493378,10.925070461998361,16.002701044890753,0,2,0,0,0.0014064394158209,0.0258013034043764,5.59043205423228e-06,2.0835817242987497e-07,0,1,1,1,22.3612267987225,18.68965903072072,17.27072480094775,19.003672046807942,2,2,2,2,4,1,1,3,1,1,1,3,2,1,2,2,1,1,1,3,1,2,1,2,2,0,0,0,0,0,0,0
215360,7.7,14.0,6.39,4.81,44.62,2269.89,1.33,10490995000.0,-1.56,-2.78,5.44,4.34,47.24,2369.77,1.25,17713132000.0,1.19,-9.19,3.98,3.48,48.16,2447.69,1.14,18311215000.0,-1.3,-1.71,-3.49,-3.11,48.84,2450.37,1.12,15117290000.0,0,0,0,0,3.2331458069686834,3.0453810359723508,2.5936319148032205,2.6801445846303977,0,0,1,1,0.000717086053135,0.0007027418228432,0.0006889726546844,0.0008585126286802,1,1,1,1,24.903861960463225,25.0569722003713,24.99202349631467,24.97843859467104,2,2,2,2,3,1,2,1,3,2,2,1,2,2,2,2,4,4,4,4,4,4,4,4,2,0,0,0,0,0,0,0
215200,30.22,41.63,15.31,15.06,60.44,17759.85,1.02,89825913000.0,14.36,23.43,14.47,13.98,60.42,20443.8,1.03,46197421000.0,25.35,7.97,7.06,7.59,51.15,21419.29,0.93,89504758000.0,31.55,51.11,16.39,15.04,49.84,27381.2,1.09,172095127000.0,0,0,0,0,2.817333102395059,3.2722470434448763,2.321272079502051,3.340873819231933,1,0,1,0,0.0001208263094899,0.0001601604262767,0.0005801980333407,0.0001743739390199,1,1,1,2,24.3167803892908,25.50398519661987,25.08916490606344,26.912600403724536,2,2,2,2,4,3,3,4,4,4,3,4,3,3,2,2,3,4,4,4,4,4,4,4,6,0,0,0,1,0,0,0
215100,8.51,17.63,10.71,18.5,95.45,1315.68,0.58,2848719000.0,-0.45,-23.29,2.17,5.08,93.63,1338.29,0.43,832875000.0,-5.98,-61.05,-6.19,-36.0,95.22,1222.07,0.17,-3293826000.0,24.0,32.28,-2.8,-13.33,97.92,1394.32,0.21,1857472000.0,0,0,0,0,27.97036491714094,29.468990134081878,43.63693254721253,79.15586673969314,0,0,0,0,4.021760654774192e-07,2.736969369563488e-05,0.0204007464565457,0.0030749228435234,2,1,0,1,24.115164516923265,23.52602051629335,19.187711034892885,18.24936064334542,2,2,2,2,3,1,1,3,4,2,1,1,3,3,3,3,2,3,2,2,1,1,1,2,2,0,0,0,0,0,0,0
214680,14.46,14.37,3.79,4.08,64.52,624.61,0.93,2667206000.0,44.12,8.35,3.27,4.24,54.1,690.48,0.77,5323705000.0,25.98,1.87,-3.91,-6.63,40.75,609.5,0.59,-515594000.0,2.86,31.42,3.21,4.69,50.14,721.11,0.68,63137000.0,0,0,0,0,4.398209414677653,3.0081440662221652,1.7617523623337592,2.1902617380471257,0,0,2,1,0.0002120655227642,0.0004363348269819,0.0030406571447254,0.000436325209364,1,1,0,1,20.46628513408034,20.188176553334888,18.437659109887367,19.468560478604648,2,2,2,2,3,3,3,3,2,2,1,2,2,2,1,1,3,2,3,3,2,1,3,2,2,0,0,0,0,0,1,0
195990,3.3,-13.4,-5.35,-35.91,70.73,111.76,0.15,-1532360000.0,22.67,-59.21,-12.98,-241.8,75.73,54.93,0.05,-7110795000.0,-5.65,183.79,0.89,6.24,90.37,22.63,0.14,16262851000.0,7.64,-50.89,-2.56,-36.9,84.57,19.37,0.07,-6414630000.0,0,0,0,0,1.5845066345253067,1.2474355301475073,7.4142451206945195,5.919393805667797,2,2,0,0,0.0005233650995607,0.001865686677835,0.039504642254672,0.0001030311842488,0,0,1,0,18.165912282931966,12.07209995673318,10.069334372647674,8.006308279094956,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2,2,1,1,1,1,1,4,1,1,2,0,0,1,1,0,0,0
288620,216.15,55.17,5.24,6.18,53.41,949.27,0.85,1852755000.0,23.5,20.52,3.46,5.74,45.87,1013.0,0.6,-19737025000.0,58.8,23.71,2.44,4.69,58.38,1874.17,0.52,4163613000.0,7.28,0.42,2.14,5.2,59.11,1941.52,0.41,-10449018000.0,0,0,0,0,4.956898431754744,3.3544890953469504,3.6095541678627963,4.014331043346191,0,0,0,0,0.0006438459313363,0.000984973392594,0.0003037046967339,0.0002141487654561,2,1,1,0,20.53453786395026,19.61769658670441,19.65061323945441,19.511230589968957,2,2,2,2,4,4,4,2,3,3,2,2,2,2,3,3,3,2,2,1,2,2,2,1,2,0,0,0,0,0,0,0
290720,458.6,52.93,21.43,12.34,92.82,1309.12,1.74,4521486000.0,9.91,22.44,10.1,8.46,89.37,1420.34,1.19,3059101000.0,14.87,77.26,10.25,5.45,85.79,1581.91,1.88,5103039000.0,3.7,45.37,2.6,1.04,80.96,1542.17,2.51,-8085209000.0,0,0,0,0,29.848891160781903,16.87832585309453,13.38714677699536,13.42599186053932,0,0,0,0,1.6882393145158715e-06,1.3573766015797994e-05,1.60576933297919e-05,0.0001582848577381,1,1,1,1,25.14564913269076,24.74117662190604,26.980022632899598,27.354569154451525,2,2,2,2,4,3,3,3,4,3,3,2,3,3,3,3,4,3,4,2,4,3,4,1,5,0,0,0,0,0,0,0
110790,33.39,-7.89,18.46,17.15,75.55,1649.92,1.08,22914661000.0,1.83,0.76,14.14,15.04,78.49,1827.84,0.94,27848347000.0,13.41,13.07,17.11,17.32,76.7,2120.76,0.99,60742510000.0,31.96,29.13,24.07,23.27,74.32,2661.49,1.03,72718536000.0,0,0,0,0,5.419520978063739,5.365456048593243,4.961447613148259,5.613377517596798,0,0,0,0,2.9703208715050963e-05,2.6907140849963032e-05,1.6808977294927038e-05,1.1913962565911808e-05,1,1,2,2,30.06964427853593,30.69822198140621,31.60117398236936,32.0226808826517,2,2,2,2,4,2,3,4,4,4,4,4,3,3,3,3,4,4,3,4,4,4,4,4,2,0,0,0,0,0,0,0
303030,16.24,-2.81,16.17,9.08,60.14,468.06,1.78,6421809000.0,52.09,17.99,15.32,9.88,66.91,745.03,1.55,5706407000.0,-2.52,-26.48,3.68,3.85,72.5,749.59,0.96,2369746000.0,4.06,-3.86,3.78,4.14,69.35,741.99,0.91,2338144000.0,0,0,0,0,2.6495671465513726,4.500818155744323,6.513177785929182,6.872735383467533,1,0,0,0,0.0001788975978462,0.0004049270798092,0.0003479134922411,0.000187779489429,2,1,1,1,15.72223848765412,20.592520434284204,19.10671404611769,18.80107284628826,2,2,2,2,3,3,1,1,3,3,2,2,2,2,2,2,4,3,4,3,4,2,3,2,2,0,0,0,0,0,0,0
